title,genres,director,cast,keywords,description,movieId,release_year,cleaned_director,cleaned_cast,cleaned_keywords,cleaned_genres,metadata_soup
The Pharaoh Heist II,Action Sci-Fi,James Cameron,"Robert Downey Jr., Christian Bale, Leonardo DiCaprio","fight, heist, revenge, martial arts","In this breathtaking tale, a main protagonist uncovers a forbidden romance that threatens to change everything they know.",960,2010,jamescameron,robertdowneyjr. christianbale leonardodicaprio,fight heist revenge martialarts,action sci-fi,"action sci-fi jamescameron robertdowneyjr. christianbale leonardodicaprio fight heist revenge martialarts in this breathtaking tale, a main protagonist uncovers a forbidden romance that threatens to change everything they know."
Whispers of the Love II,Thriller Romance,Alfred Hitchcock,"Brad Pitt, Jake Gyllenhaal, Christian Bale","psychological, hostage, serial killer, ticking clock","In this breathtaking tale, a main protagonist battles a deadly conspiracy that threatens to change everything they know.",961,2018,alfredhitchcock,bradpitt jakegyllenhaal christianbale,psychological hostage serialkiller tickingclock,thriller romance,"thriller romance alfredhitchcock bradpitt jakegyllenhaal christianbale psychological hostage serialkiller tickingclock in this breathtaking tale, a main protagonist battles a deadly conspiracy that threatens to change everything they know."
Chasing Love II,Comedy,Edgar Wright,"Emma Stone, Steve Carell, Jonah Hill","parody, buddy road trip, coming of age, high school","In this mysterious tale, a main protagonist investigates a forbidden romance that threatens to change everything they know.",962,1977,edgarwright,emmastone stevecarell jonahhill,parody buddyroadtrip comingofage highschool,comedy,"comedy edgarwright emmastone stevecarell jonahhill parody buddyroadtrip comingofage highschool in this mysterious tale, a main protagonist investigates a forbidden romance that threatens to change everything they know."
Beyond the Algorithm II,Sci-Fi,Christopher Nolan,"Mark Hamill, Matt Damon, Zoe Saldana","space travel, simulation, artificial intelligence, cyborg","In this mysterious tale, a main protagonist falls in love with a post-apocalyptic wasteland that threatens to change everything they know.",963,1978,christophernolan,markhamill mattdamon zoesaldana,spacetravel simulation artificialintelligence cyborg,sci-fi,"sci-fi christophernolan markhamill mattdamon zoesaldana spacetravel simulation artificialintelligence cyborg in this mysterious tale, a main protagonist falls in love with a post-apocalyptic wasteland that threatens to change everything they know."
Diary of a Cyborg,Drama,Francis Ford Coppola,"Matthew McConaughey, Meryl Streep, Al Pacino","ambition, historical events, betrayal, friendship","In this breathtaking tale, a main protagonist investigates a mysterious artifact that threatens to change everything they know.",964,1987,francisfordcoppola,matthewmcconaughey merylstreep alpacino,ambition historicalevents betrayal friendship,drama,"drama francisfordcoppola matthewmcconaughey merylstreep alpacino ambition historicalevents betrayal friendship in this breathtaking tale, a main protagonist investigates a mysterious artifact that threatens to change everything they know."
Curse of the Deep Sea II,Horror,James Wan,"Patrick Wilson, Toni Collette, Lupita Nyong'o","survival horror, ghost, zombie, possession","In this spectacular tale, a main protagonist battles a post-apocalyptic wasteland that threatens to change everything they know.",965,2014,jameswan,patrickwilson tonicollette lupitanyong'o,survivalhorror ghost zombie possession,horror,"horror jameswan patrickwilson tonicollette lupitanyong'o survivalhorror ghost zombie possession in this spectacular tale, a main protagonist battles a post-apocalyptic wasteland that threatens to change everything they know."
Curse of the Artifact II,Horror Mystery,Ari Aster,"Jamie Lee Curtis, Florence Pugh, Ethan Hawke","survival horror, monster, zombie, curse","In this breathtaking tale, a main protagonist discovers a mysterious artifact that threatens to change everything they know.",966,1985,ariaster,jamieleecurtis florencepugh ethanhawke,survivalhorror monster zombie curse,horror mystery,"horror mystery ariaster jamieleecurtis florencepugh ethanhawke survivalhorror monster zombie curse in this breathtaking tale, a main protagonist discovers a mysterious artifact that threatens to change everything they know."
Diary of a Time II,Drama Romance,Quentin Tarantino,"Robert De Niro, Al Pacino, Brad Pitt","betrayal, historical events, tragedy, family struggle","In this breathtaking tale, a main protagonist battles a post-apocalyptic wasteland that threatens to change everything they know.",967,2004,quentintarantino,robertdeniro alpacino bradpitt,betrayal historicalevents tragedy familystruggle,drama romance,"drama romance quentintarantino robertdeniro alpacino bradpitt betrayal historicalevents tragedy familystruggle in this breathtaking tale, a main protagonist battles a post-apocalyptic wasteland that threatens to change everything they know."
Hearts in Deep Sea II,Romance Horror Drama,Rob Reiner,"Ethan Hawke, Hugh Grant, Rachel McAdams","secret crush, relationship, destiny, second chance","In this futuristic tale, a main protagonist escapes from a hidden empire that threatens to change everything they know.",968,1994,robreiner,ethanhawke hughgrant rachelmcadams,secretcrush relationship destiny secondchance,romance horror drama,"romance horror drama robreiner ethanhawke hughgrant rachelmcadams secretcrush relationship destiny secondchance in this futuristic tale, a main protagonist escapes from a hidden empire that threatens to change everything they know."
Beyond the Wilderness,Sci-Fi Horror,James Cameron,"Sigourney Weaver, Sandra Bullock, Zoe Saldana","artificial intelligence, space travel, time travel, dystopia","In this futuristic tale, a main protagonist investigates a deadly conspiracy that threatens to change everything they know.",969,2001,jamescameron,sigourneyweaver sandrabullock zoesaldana,artificialintelligence spacetravel timetravel dystopia,sci-fi horror,"sci-fi horror jamescameron sigourneyweaver sandrabullock zoesaldana artificialintelligence spacetravel timetravel dystopia in this futuristic tale, a main protagonist investigates a deadly conspiracy that threatens to change everything they know."
Return of the Dreamer II,Fantasy,Guillermo del Toro,"Daniel Radcliffe, Johnny Depp, Elijah Wood","mythology, alternate realm, prophecy, elves","In this gripping tale, a main protagonist uncovers a deadly conspiracy that threatens to change everything they know.",970,2023,guillermodeltoro,danielradcliffe johnnydepp elijahwood,mythology alternaterealm prophecy elves,fantasy,"fantasy guillermodeltoro danielradcliffe johnnydepp elijahwood mythology alternaterealm prophecy elves in this gripping tale, a main protagonist uncovers a deadly conspiracy that threatens to change everything they know."
Whispers of the AI II,Thriller Fantasy Action,David Fincher,"Brad Pitt, Ben Affleck, Leonardo DiCaprio","psychological, serial killer, hostage, ticking clock","In this dangerous tale, a main protagonist travels to a deadly conspiracy that threatens to change everything they know.",971,2001,davidfincher,bradpitt benaffleck leonardodicaprio,psychological serialkiller hostage tickingclock,thriller fantasy action,"thriller fantasy action davidfincher bradpitt benaffleck leonardodicaprio psychological serialkiller hostage tickingclock in this dangerous tale, a main protagonist travels to a deadly conspiracy that threatens to change everything they know."
Love Night II,Horror Sci-Fi Mystery,Jordan Peele,"Jamie Lee Curtis, Florence Pugh, Lupita Nyong'o","possession, monster, zombie, haunted house","In this haunting tale, a main protagonist escapes from a digital virtual world that threatens to change everything they know.",972,2006,jordanpeele,jamieleecurtis florencepugh lupitanyong'o,possession monster zombie hauntedhouse,horror sci-fi mystery,"horror sci-fi mystery jordanpeele jamieleecurtis florencepugh lupitanyong'o possession monster zombie hauntedhouse in this haunting tale, a main protagonist escapes from a digital virtual world that threatens to change everything they know."
The Haunting Project II,Sci-Fi Adventure Fantasy,Ridley Scott,"Matthew McConaughey, Matt Damon, Carrie Fisher","future, space travel, simulation, artificial intelligence","In this dangerous tale, a main protagonist discovers their deepest fears that threatens to change everything they know.",973,2018,ridleyscott,matthewmcconaughey mattdamon carriefisher,future spacetravel simulation artificialintelligence,sci-fi adventure fantasy,"sci-fi adventure fantasy ridleyscott matthewmcconaughey mattdamon carriefisher future spacetravel simulation artificialintelligence in this dangerous tale, a main protagonist discovers their deepest fears that threatens to change everything they know."
Curse of the Time II,Horror,John Carpenter,"Vera Farmiga, Jamie Lee Curtis, Patrick Wilson","monster, slasher, haunted house, ghost","In this dangerous tale, a main protagonist escapes from a digital virtual world that threatens to change everything they know.",974,2006,johncarpenter,verafarmiga jamieleecurtis patrickwilson,monster slasher hauntedhouse ghost,horror,"horror johncarpenter verafarmiga jamieleecurtis patrickwilson monster slasher hauntedhouse ghost in this dangerous tale, a main protagonist escapes from a digital virtual world that threatens to change everything they know."
Chasing High School II,Comedy Fantasy,Todd Phillips,"Jim Carrey, Paul Rudd, Steve Carell","high school, satire, buddy road trip, coming of age","In this spectacular tale, a main protagonist navigates a digital virtual world that threatens to change everything they know.",975,2018,toddphillips,jimcarrey paulrudd stevecarell,highschool satire buddyroadtrip comingofage,comedy fantasy,"comedy fantasy toddphillips jimcarrey paulrudd stevecarell highschool satire buddyroadtrip comingofage in this spectacular tale, a main protagonist navigates a digital virtual world that threatens to change everything they know."
